	fullname	id	likes	replies	retweets	text	timestamp	url	user	sentiment score
51	Fairy Bottling	950365273588097024	3	1	2	"We at Fairy Bottling prioritize the health and safety of all of our employees and clients even more so at a time like this.
As an additional safety measure, we have stopped producing 20L Refillable Container Products #Zambia #Cholera #CholeraWatch #FairyBottling #RefreshingAfricapic.twitter.com/7R8qxBqHPe"	2018-01-08 13:55:12	/FairyBottlingZm/status/950365273588097024	FairyBottlingZm	0.5
52	 👑 🎋Alexis 💋 👐	950363730772221952	0	0	0	".
#ZedTwitter 
 Let's fight Against 

CHOLERA

POVERTY 

Let's unite and help each other. 
 #CholeraWatch #zedfollow #Zambia"	2018-01-08 13:49:04	/luzzyhappines/status/950363730772221953	luzzyhappines	-0.125
53	Kay	950363538039689216	0	0	0	The perks of paying tax #Zambia #CholeraWatch https://twitter.com/lusakatimes/status/950351897185136641 …	2018-01-08 13:48:19	/misschewe/status/950363538039689217	misschewe	0.0
54	CHIMWEMWE KHUNGA	950362152539492352	9	5	21	"Should the Lusaka Mayor resign in national interest?
#zambia
#CholeraWatch
#cholera"	2018-01-08 13:42:48	/Eng_Khunga/status/950362152539492352	Eng_Khunga	0.0
55	Mr Baks	950360111704309760	1	1	1	Are we fighting Cholera with Guns and Armory, i see no reason why our security wings should be moving up and about with all that like its war that requires Armory yet its just hygiene and cleanness that is to be emphasized. #CholeraWatch	2018-01-08 13:34:42	/DeejayBaks/status/950360111704309760	DeejayBaks	0.0
56	H.O.P.E	950357940229345280	1	1	0	Hand sanitizer has suddenly become a rare commodity in kitwe. #CholeraWatch	2018-01-08 13:26:04	/tembo_hope/status/950357940229345280	tembo_hope	0.15
57	Lolelanji Sinkala	950357260512964608	0	1	1	We need to continue with the hygiene standards...its encouraging to see a cleaner town centre#CholeraWatch	2018-01-08 13:23:22	/Miss_Lolelanji/status/950357260512964609	Miss_Lolelanji	0.0
58	Wayne Mulenga	950354766646915072	1	0	1	Only 46% of people in Africa have safe drinking water. #CholeraWatch	2018-01-08 13:13:27	/mulezed/status/950354766646915074	mulezed	0.25
59	Mr. Justin Mukatuka	950354386852700160	1	0	0	If HIV/AIDS used to kill like #Cholera very few people would have been promiscuity #CholeraWatch	2018-01-08 13:11:57	/mukatuka_justin/status/950354386852700166	mukatuka_justin	-0.26
60	Jozef	949004417004724224	1	2	3	"Pic n Pay town outlet shutdown!!!!
#CholeraWatch"	2018-01-04 19:47:39	/King_MJC_1/status/949004417004724225	King_MJC_1	0.0
61	Farrai Malunga	948996610134106112	8	0	0	"Wash your hands like you are getting paid for it...
#CholeraWatch #cholera #CholeraOutbreak"	2018-01-04 19:16:38	/Accordingtoflo/status/948996610134106113	Accordingtoflo	0.0
62	Farrai Malunga	948996435164499968	1	0	0	Drink only boiled or treated water! #CleanPowerPlan #CholeraWatch #CholeraOutbreak	2018-01-04 19:15:56	/Accordingtoflo/status/948996435164499968	Accordingtoflo	0.0
63	naomi nkhoma	948973506645123072	1	0	0	Since street vendors are being removed from the streets does that mark the end of street vending??Keep in mind this a means for people to survive  #Zambia #CholeraWatch #cholera #Lusaka	2018-01-04 17:44:49	/Jasmine3Blue/status/948973506645123072	Jasmine3Blue	0.0
64	Chizengu J  🇿🇲	948956208358133760	0	0	0	It can't be easy in our Capital City my friend #Cholera #CholeraWatch pic.twitter.com/kM6jNkwKJD	2018-01-04 16:36:05	/Justineluks/status/948956208358133760	Justineluks	0.43333333333333335
65	CMK	948947604905349120	1	0	0	Nkungulume zi vutike manje... #CholeraWatch	2018-01-04 16:01:54	/nanakicksbutt/status/948947604905349120	nanakicksbutt	0.0
66	Nyambe	948946414981304320	3	0	1	#CholeraWatch #CholeraOutbreakpic.twitter.com/ieKt0VYJNu	2018-01-04 15:57:10	/nyambetwitt/status/948946414981304321	nyambetwitt	0.0
67	Mr Tshababa	948938355701702656	3	0	1	What about clubs, are they also closed for b/ness? Coz thats most Zambian's number 1 recreation option #CholeraWatch #Zambia 	2018-01-04 15:25:09	/Tshabarankz/status/948938355701702656	Tshabarankz	0.2
68	Mwebantu	948934468743680000	7	0	8	#ZAMBIA: IN the wake, of a Cholera outbreak in Lusaka. The Supreme Court has suspended the hearing of appeal casea until further notice. #CholeraWatch pic.twitter.com/8iyehPq4Hr	2018-01-04 15:09:42	/Mwebantu/status/948934468743680000	Mwebantu	0.0
69	Dieter Chipalo	948926301523542016	6	0	9	Save a life today. Rising #cholera cases in #Zambia. Lets work together as a united people. #Share #RetweeetPlease #CholeraWatch pic.twitter.com/XDlZ0yStGr	2018-01-04 14:37:15	/DieterChipalo/status/948926301523542016	DieterChipalo	0.0
70	Mwebantu	948918849298223104	5	0	10	#ZAMBIA: Catholic Church in Zambia cancels meetings, Catechism lessons, Lay movement meetings etc. #CholeraWatch pic.twitter.com/aqtOHHxqqJ	2018-01-04 14:07:38	/Mwebantu/status/948918849298223105	Mwebantu	0.0
71	Young King 👑	948892685816889344	2	0	0	This issue of chorela started as a result of shortage of water in some parts of Lusaka which resorted people to drinking contaminated water. #CholeraWatch	2018-01-04 12:23:40	/JustineLungu/status/948892685816889345	JustineLungu	0.0
72	Blessed 🇿🇲	948891029343817728	2	1	0	Cholera fiko, (doti) oh  what 42 million could have done....(sigh) #CholeraWatch	2018-01-04 12:17:05	/BleBleKasota/status/948891029343817729	BleBleKasota	0.0
73	Jozef	948890669216616448	0	0	0	#CholeraWatch pic.twitter.com/7yJB9VBWN5	2018-01-04 12:15:39	/King_MJC_1/status/948890669216616449	King_MJC_1	0.0
74	Blessed 🇿🇲	948890176381751296	0	0	0	It's sad that in this time and age people are using latrines. Serious and I mean serious drainage and sewer systems needed.  #CholeraWatch	2018-01-04 12:13:42	/BleBleKasota/status/948890176381751296	BleBleKasota	-0.36979166666666663
75	Mwengwe	948888919311044608	0	1	0	I hope this doesn't ultimately affect Zambians travelling abroad and overseas #CholeraWatch	2018-01-04 12:08:42	/natie808/status/948888919311044613	natie808	0.0
76	Chainga	948886627568537600	0	0	0	@HungryLionZM maybe will not deny this time. #CholeraWatch pic.twitter.com/o0fopGT5fU	2018-01-04 11:59:36	/Chaingaz/status/948886627568537600	Chaingaz	0.0
77	OLI TWIST	948878414362144768	2	0	0	One reported cholera  case in Ndola, suspected to be coming from Lusaka. #CholeraWatch	2018-01-04 11:26:57	/Sir_Oli87/status/948878414362144768	Sir_Oli87	0.0
78	Mwebantu	948876806056218624	8	3	12	"#ZAMBIA: Government has closed three Hungry Lion outlets of, ""Levy Mall, Cairo Road and Freedom way"" #CholeraWatch pic.twitter.com/C8Ha7ssqQt"	2018-01-04 11:20:34	/Mwebantu/status/948876806056218624	Mwebantu	-0.1
79	 🇿🇲BUY ZAMBIAN 🇿🇲	948875953131982848	3	0	5	#Lusaka people best to stay home & only eat food cooked at home. Working remotely is the best thing to do too. Stay safe! #CholeraWatch #CholeraOutbreak	2018-01-04 11:17:11	/TopZedBrands/status/948875953131982848	TopZedBrands	0.505
80	Chainga	948853809052377088	19	1	32	Doxycline is a Cholera prophylaxis. Take 3 tablets (300mg) at once and  2-3 cups of ORS if you come in contact with a suspicious individual/area. These be bought over the counter or gotten from any government clinic or hospital.  #CholeraWatch	2018-01-04 09:49:11	/Chaingaz/status/948853809052377088	Chaingaz	0.0
81	CHIMWEMWE KHUNGA	948850455949512704	2	0	0	"Good hygiene starts with us. 
#CholeraWatch"	2018-01-04 09:35:52	/Eng_Khunga/status/948850455949512705	Eng_Khunga	0.7
82	Young King 👑	948840235517038592	1	0	0	The other name for Lusaka is Cholera City #CholeraWatch	2018-01-04 08:55:15	/JustineLungu/status/948840235517038592	JustineLungu	-0.125
83	Erasmus Mweene	948832482174087168	1	1	1	#CholeraWatch #Cholerapic.twitter.com/fRuZqFio2V	2018-01-04 08:24:26	/ErasmusMweene/status/948832482174087170	ErasmusMweene	0.0
84	Stukie, MD	948827141432659968	28	6	65	The 3 affected Hungry Lion outlets are Levy junction, Cairo road and Freedom Way. #CholeraWatch	2018-01-04 08:03:13	/DocStukie/status/948827141432659968	DocStukie	0.0
85	CMK	948818071048908800	10	2	7	It's best to quarantine city. Because not everyone knows what areas are affected. We need hourly updates. #CholeraWatch on radio and TV Bwana @VincentMwale in English and local languages.	2018-01-04 07:27:10	/nanakicksbutt/status/948818071048908801	nanakicksbutt	0.3333333333333333
86	FLUSH - WASH	951203055155982336	1	0	0	What is #Lusaka #Zambia doing to prevent more cases of #cholera? Shutting down bars without #toilets.   #toiletnews #CholeraWatch #Sanitation #nowyouknowhttp://bit.ly/2CZdJmV 	2018-01-10 21:24:15	/flush_wash/status/951203055155982337	flush_wash	0.17222222222222222
87	Gift Kapande	951190638644559872	0	0	1	Negative economic impact of Cholera #CholeraWatch https://twitter.com/lusakatimes/status/951152467261231104 …	2018-01-10 20:34:55	/KapandeGift/status/951190638644559872	KapandeGift	-0.04999999999999999
88	Raphael Sampa	951175026354655232	0	0	1	Prevent #Cholera. Purify contaminated borehole water using effective non-chlorine based Water Disinfectant #CholeraWatch #Zambia contact me for details.	2018-01-10 19:32:52	/raphaelsam/status/951175026354655237	raphaelsam	0.6
89	Francis Makwaza	951165872600645632	2	0	0	@UPNDZM @VincentMwale what brings us together is greater than what divides us. We thank @HHichilema and his party for the donation towards #CholeraWatch . it will be good even @pf as a party with its branches like tayali ba pule and others  to do the same. In short all partys	2018-01-10 18:56:30	/Francis_Makwaza/status/951165872600645634	Francis_Makwaza	0.3
90	Zambia	951164767569350656	0	0	0	#ZAMBIA: Cholera Outbreak Update: January, 10th, 2018. #CholeraWatch http://www.rightrelevance.com/search/articles/hero?article=3dba92d157445a377766965626867c81f846bbc0&query=zambia&taccount=zambiarr …pic.twitter.com/M9V1JpH87K	2018-01-10 18:52:07	/ZambiaRR/status/951164767569350657	ZambiaRR	0.0
91	Pulchritude and Soul.	951161513590566912	1	0	0	Chili mango for dinner. After washing it a million times. Lol #CholeraWatch pic.twitter.com/6Hnq0RM0DJ	2018-01-10 18:39:11	/LaBelleMossie/status/951161513590566912	LaBelleMossie	0.8
92	β•ιя•ðÝ☇12/07 ♥̸̨	951142430182641664	0	0	0	We are in this fight together. Big ups to my Hello family #CholeraWatch https://twitter.com/VincentMwale/status/951038716616863744 …	2018-01-10 17:23:21	/That_Chiq_Birdy/status/951142430182641665	That_Chiq_Birdy	0.0
93	mutuna	951139035690528768	1	0	0	The way people are now abusing hand sanitizer in zambia #cholerawatch	2018-01-10 17:09:52	/jaymeggie/status/951139035690528769	jaymeggie	0.0
94	Ngosa Whoopi Chungu	951136261095526400	0	0	0	"#CholeraWatch all week on my Facebook page. 

#Zambia let's continue to do whatever we can to spread the word about the causes, as well as how to prevent contamination and contraction of the disease.
 https://www.facebook.com/NdhlovukhaziStoryteller/ …"	2018-01-10 16:58:50	/whoops_c/status/951136261095526400	whoops_c	0.0
95	Mwebantu	951135019304734720	79	6	44	#ZAMBIA: THE Somali Community in Zambia has donated 35 trucks to the government which will be used for garbage collection. #EndCholera #CholeraWatch pic.twitter.com/wLvgBUCfUM	2018-01-10 16:53:54	/Mwebantu/status/951135019304734720	Mwebantu	0.0
96	Sandra Cindy Ngosa	951121465558159360	0	1	3	Like I always say.Mother Earth has her own way of fighting back. It is very important that we keep our surroundings clean. Let's all participate in the fighting against cholera.  #CholeraWatch pic.twitter.com/BrqL2uxJTp	2018-01-10 16:00:03	/NgosaSandra/status/951121465558159361	NgosaSandra	0.3716666666666667
97	Mwebantu	951119625961525248	94	6	34	#ZAMBIA: OPPOSITION United Party for National Development (UPND) has donated assorted items to government towards the fight against Cholera. #EndCholera #CholeraWatch pic.twitter.com/ovzLj2kDuI	2018-01-10 15:52:44	/Mwebantu/status/951119625961525248	Mwebantu	0.0
98	Mwebantu	951106550055276544	6	0	5	#ZAMBIA: @gatesfoundation has donated doses of oral cholera vaccine to Zambia #EndCholera.#CholeraWatch pic.twitter.com/SrBcFnh2SE	2018-01-10 15:00:46	/Mwebantu/status/951106550055276546	Mwebantu	0.0
99	Erasmus Mweene	951103865121800192	0	0	0	@Airtel_Zambia be the bigger guy or match it up? #CholeraWatch https://twitter.com/Mwebantu/status/951094684667076608 …	2018-01-10 14:50:06	/ErasmusMweene/status/951103865121800192	ErasmusMweene	0.0
100	Vaccines Are Good	951101905140318208	0	0	0	Hon. Minister of Health administers the first dose of #CholeraWatch oral vaccine. pic.twitter.com/LyMbSB6Og9	2018-01-10 14:42:19	/dien_vaccines/status/951101905140318211	dien_vaccines	0.25
101	IshiwiMyVoice	951101834608955392	0	0	0	National Registration, Passport and Citizenship offices (NRPC) in Lusaka will be closed to the public until further notice from Ministry of Home Affairs to avoid the spread of cholera. #CholeraWatch	2018-01-10 14:42:02	/IshiwiMyVoice/status/951101834608955392	IshiwiMyVoice	-0.03333333333333333
102	Vaccines Are Good	951101639909367808	1	0	1	#ZANACO joins many partners that have come on board to address the #CholeraWatch outbreak. pic.twitter.com/QVjINBKv0k	2018-01-10 14:41:16	/dien_vaccines/status/951101639909367808	dien_vaccines	0.5
103	Talented 10th	951101334232682496	0	0	0	Life is very funny huh. Some people will get richer out of this #CholeraWatch whether legally or illegally	2018-01-10 14:40:03	/SirTonyStone/status/951101334232682496	SirTonyStone	-0.0875
104	Vaccines Are Good	951100818375299072	0	2	0	#Zambia's Hon. Minister of Health and delegates at the launch of #CholeraWatch OCV Vaccination taking tge actual part. pic.twitter.com/9mCxJMHWnZ	2018-01-10 14:38:00	/dien_vaccines/status/951100818375299072	dien_vaccines	0.0
105	Margaret Samulela	951100160884518912	0	0	0	Story in the market is that most of those who were trading along Cairo Road actually own shops, but had rented them out to those running restaurants. Now they are returning to operate from their shops as the restaurants close..#CholeraWatch #Lusaka #Zambia	2018-01-10 14:35:23	/mangalita5/status/951100160884518912	mangalita5	0.55
106	Milind Arolkar	951099892658716672	0	0	0	#Cholera kills 2,235 people in #Yemen ; 75% of #Yemenis are still in need of #humanitarian #assistance : http://www.newsbharati.com//Encyc/2018/1/10/Yemen-cholera-outbreak.html … via @newsbharati #YemenGenocide #YemenConflict #Yemeni #YemeniBahais #YemenFamine #CholeraOutBreak #CholeraWatch #YemenWar #YemenCrisis #CivilWar	2018-01-10 14:34:19	/milindarolkar/status/951099892658716672	milindarolkar	0.0
